#category	higgs	process	mass	mean	standard deviation
mujets	ggA	sgn	M400	2.16982316602	0.0223216151917
mujets	ggA	sgn	M450	2.15502303631	0.0210173623914
mujets	ggA	sgn	M500	2.15576914966	0.0147587006804
mujets	ggA	sgn	M550	2.11313925517	0.021845314769
mujets	ggA	sgn	M600	2.04022455141	0.0224020265705
mujets	ggA	sgn	M650	2.14455336767	0.0212422497715
mujets	ggA	sgn	M700	2.18503108568	0.0271913674425
mujets	ggA	sgn	M750	2.22484997344	0.0159104254938
mujets	ggA	int	M400	1.45008382041	0.21339784603
mujets	ggA	int	M450	1.29789670864	0.0851608884028
mujets	ggA	int	M500	1.2088970417	0.0193478840314
mujets	ggA	int	M550	1.15406491367	0.038613732755
mujets	ggA	int	M600	1.07244619446	0.0205831045951
mujets	ggA	int	M650	1.10123022415	0.0413930464539
mujets	ggA	int	M700	1.0836716543	0.0520105102716
mujets	ggA	int	M750	1.05331775437	0.0917332197539
mujets	ggH	sgn	M400	2.25709174481	0.0210397191405
mujets	ggH	sgn	M450	2.28107410216	0.0225763205646
mujets	ggH	sgn	M500	2.22463468084	0.0198567370911
mujets	ggH	sgn	M550	2.20101773005	0.0189218269993
mujets	ggH	sgn	M600	2.15558042103	0.0206489182311
mujets	ggH	sgn	M650	2.13112606216	0.0193929924777
mujets	ggH	sgn	M700	2.12363984315	0.0253626066996
mujets	ggH	sgn	M750	2.07404815173	0.014705825096
mujets	ggH	int	M400	1.25479042347	0.0813657171332
mujets	ggH	int	M450	1.30079257605	0.0237613433979
mujets	ggH	int	M500	1.25453965566	0.0222821539541
mujets	ggH	int	M550	1.2196411834	0.0243949631972
mujets	ggH	int	M600	1.19606384678	0.0630941357884
mujets	ggH	int	M650	1.12886352673	0.035220316447
mujets	ggH	int	M700	1.10884852258	0.026509952421
mujets	ggH	int	M750	1.16195962123	0.0544276815916
ejets	ggA	sgn	M400	2.26943381045	0.034402767253
ejets	ggA	sgn	M450	2.12360703688	0.0315741608789
ejets	ggA	sgn	M500	2.17007750738	0.0297424906598
ejets	ggA	sgn	M550	2.25121821192	0.0296210947391
ejets	ggA	sgn	M600	2.17914857636	0.0325271338573
ejets	ggA	sgn	M650	2.14001654076	0.0210737823465
ejets	ggA	sgn	M700	2.0690506464	0.0319488310158
ejets	ggA	sgn	M750	2.25319053621	0.0238675056168
ejets	ggA	int	M400	1.35882028606	0.0728065148425
ejets	ggA	int	M450	1.29391400862	0.0731861596827
ejets	ggA	int	M500	1.19635620427	0.0791343352773
ejets	ggA	int	M550	1.17817640989	0.053481506175
ejets	ggA	int	M600	1.15567979241	0.125366408883
ejets	ggA	int	M650	1.10332668454	0.154058224371
ejets	ggA	int	M700	1.09723833065	0.126823886402
ejets	ggA	int	M750	1.10703546769	0.0248949115858
ejets	ggH	sgn	M400	2.23098892799	0.0122192285557
ejets	ggH	sgn	M450	2.25209415037	0.0364892440733
ejets	ggH	sgn	M500	2.1790800296	0.0334394583433
ejets	ggH	sgn	M550	2.32621708479	0.0231689912214
ejets	ggH	sgn	M600	2.3229693438	0.0259657869844
ejets	ggH	sgn	M650	2.30096716148	0.0125227621901
ejets	ggH	sgn	M700	2.30174105026	0.0151959208257
ejets	ggH	sgn	M750	2.3178066805	0.0299873207054
ejets	ggH	int	M400	1.44756152662	0.082785004482
ejets	ggH	int	M450	1.35856789355	0.0366314058968
ejets	ggH	int	M500	1.34403287181	0.0325388606506
ejets	ggH	int	M550	1.32019837006	0.0510948900678
ejets	ggH	int	M600	1.17422019092	0.0265450018744
ejets	ggH	int	M650	1.19541039628	0.0275930998912
ejets	ggH	int	M700	1.18144846493	0.0564610252789
ejets	ggH	int	M750	1.25023961626	0.102014906681
ll	ggA	sgn	M400	2.04455520752	0.231498038757
ll	ggA	sgn	M450	2.03436379634	0.28607548268
ll	ggA	sgn	M500	2.06408085369	0.326649815464
ll	ggA	sgn	M550	1.98892397668	0.309985388169
ll	ggA	sgn	M600	2.00409244076	0.323638045344
ll	ggA	sgn	M650	1.92437252766	0.293627895686
ll	ggA	sgn	M700	1.9546572896	0.316073203595
ll	ggA	sgn	M750	1.96663119368	0.325169006284
ll	ggA	int	M400	1.40891158531	0.1192971463
ll	ggA	int	M450	1.24121673982	0.101490272888
ll	ggA	int	M500	1.14307771535	0.0537485207054
ll	ggA	int	M550	1.1216918612	0.0465252684317
ll	ggA	int	M600	1.10350850162	0.0651841762042
ll	ggA	int	M650	1.09669449669	0.0534723841269
ll	ggA	int	M700	1.06685195255	0.0561352297523
ll	ggA	int	M750	1.06290352126	0.0337978122393
ll	ggH	sgn	M400	2.17803249535	0.281522859171
ll	ggH	sgn	M450	2.17216486882	0.296704902989
ll	ggH	sgn	M500	2.16688620259	0.339728742238
ll	ggH	sgn	M550	2.05653163199	0.310236286686
ll	ggH	sgn	M600	2.01231124489	0.31478331483
ll	ggH	sgn	M650	2.01098833634	0.303684791837
ll	ggH	sgn	M700	1.99299779299	0.313754103937
ll	ggH	sgn	M750	1.97659060163	0.311312532101
ll	ggH	int	M400	1.40765372499	0.0918582409001
ll	ggH	int	M450	1.3444786511	0.0256030840646
ll	ggH	int	M500	1.23723456183	0.0646691467833
ll	ggH	int	M550	1.19503461225	0.0436282101998
ll	ggH	int	M600	1.16555883204	0.0614108171517
ll	ggH	int	M650	1.16906281457	0.0370221863149
ll	ggH	int	M700	1.13131114456	0.0280179783858
ll	ggH	int	M750	1.11668334586	0.0412354965785
