Mass (GeV)	coupling	width (GeV)	xs (pb)	xs uncertainty (pb)	xs at coupling eq 1 (pb)
400	5.10E-01	4	-2.385	0.0039	-9.16E+00
400	8.10E-01	10	-5.974	0.0075	-9.10E+00
450	4.77E-01	4.5	-0.9252	0.0026	-4.07E+00
450	7.56E-01	11.25	-2.391	0.0056	-4.18E+00
500	4.62E-01	5	-0.3497	0.0019	-1.64E+00
500	7.32E-01	12.5	-0.9445	0.0022	-1.76E+00
550	4.54E-01	5.5	-0.09564	0.00095	-4.63E-01
550	7.21E-01	13.75	-0.2827	0.0025	-5.44E-01
600	4.50E-01	6	0.02663	0.001	1.32E-01
600	7.15E-01	15	0.03289	0.0017	6.44E-02
650	4.47E-01	6.5	0.08553	0.0007	4.27E-01
650	7.11E-01	16.25	0.1819	0.001	3.60E-01
700	4.46E-01	7	0.1099	0.00052	5.52E-01
700	7.09E-01	17.5	0.2477	0.00096	4.93E-01
750	4.46E-01	7.5	0.1184	0.00027	5.96E-01
750	7.08E-01	18.75	0.277	0.00073	5.53E-01
400	1.15E+00	20	-11.73	0.01	-8.93E+00
450	1.07E+00	22.5	-4.881	0.008	-4.27E+00
500	1.04E+00	25	-2.046	0.0054	-1.91E+00
550	1.02E+00	27.5	-0.7258	0.0038	-6.99E-01
600	1.01E+00	30	-0.07118	0.0025	-6.97E-02
650	1.01E+00	32.5	0.2544	0.002	2.51E-01
700	1.00E+00	35	0.4115	0.0014	4.09E-01
750	1.00E+00	37.5	0.475	0.0012	4.73E-01
