#run#	ma0	gA0tt	a0width	xs (pb)	uncertainty (pb)	xs at coupling eq 1 (pb)
run_01	4.00E+02	5.10E-01	4.00E+00	-0.09809	0.00042	-3.77E-01
run_02	4.00E+02	8.10E-01	1.00E+01	-0.244	0.00079	-3.72E-01
run_03	4.50E+02	4.77E-01	4.50E+00	-0.03857	0.00025	-1.70E-01
run_04	4.50E+02	7.56E-01	1.13E+01	-0.09867	0.00051	-1.73E-01
run_05	5.00E+02	4.62E-01	5.00E+00	-0.01492	0.00015	-7.00E-02
run_06	5.00E+02	7.32E-01	1.25E+01	-0.03955	0.00033	-7.37E-02
run_07	5.50E+02	4.54E-01	5.50E+00	-0.004112	9.60E-05	-1.99E-02
run_08	5.50E+02	7.21E-01	1.38E+01	-0.01244	0.00022	-2.39E-02
run_09	6.00E+02	4.50E-01	6.00E+00	0.000829	6.10E-05	4.10E-03
run_10	6.00E+02	7.15E-01	1.50E+01	0.0006782	0.00015	1.33E-03
run_11	6.50E+02	4.47E-01	6.50E+00	0.00332	4.30E-05	1.66E-02
run_12	6.50E+02	7.11E-01	1.63E+01	0.006807	0.0001	1.35E-02
run_13	7.00E+02	4.46E-01	7.00E+00	0.004323	2.60E-05	2.17E-02
run_14	7.00E+02	7.09E-01	1.75E+01	0.009602	7.30E-05	1.91E-02
run_15	7.50E+02	4.46E-01	7.50E+00	0.004692	1.60E-05	2.36E-02
run_16	7.50E+02	7.08E-01	1.88E+01	0.01092	5.40E-05	2.18E-02
run_17	4.00E+02	1.15E+00	2.00E+01	-0.4788	0.0012	-3.65E-01
run_18	4.50E+02	1.07E+00	2.25E+01	-0.2013	0.00082	-1.76E-01
run_19	5.00E+02	1.04E+00	2.50E+01	-0.08487	0.00055	-7.92E-02
run_20	5.50E+02	1.02E+00	2.75E+01	-0.03109	0.00035	-2.99E-02
run_21	6.00E+02	1.01E+00	3.00E+01	-0.003906	0.00028	-3.82E-03
run_22	6.50E+02	1.01E+00	3.25E+01	0.009582	0.00018	9.45E-03
run_23	7.00E+02	1.00E+00	3.50E+01	0.01592	0.00013	1.58E-02
run_24	7.50E+02	1.00E+00	3.75E+01	0.01873	0.00011	1.87E-02
