#run#	mA0	gA0tt	A0width	xs (pb)	uncertainty (pb)
run_01	4.000000e+02	1.250000e+00	2.360000e+01	14.56	0.0046
run_02	4.000000e+02	1.111111e+00	1.870000e+01	11.79	0.0035
run_03	4.000000e+02	1.000000e+00	1.510000e+01	9.783	0.0031
run_04	4.000000e+02	9.090909e-01	1.250000e+01	8.193	0.0025
run_05	4.000000e+02	8.333333e-01	1.050000e+01	6.965	0.0021
run_06	4.000000e+02	7.692308e-01	8.990000e+00	5.958	0.0018
run_07	4.000000e+02	7.142857e-01	7.760000e+00	5.166	0.0016
run_08	4.000000e+02	6.666667e-01	6.770000e+00	4.522	0.0014
run_09	5.000000e+02	1.250000e+00	3.610000e+01	5.644	0.0018
run_10	5.000000e+02	1.111111e+00	2.860000e+01	4.516	0.0012
run_11	5.000000e+02	1.000000e+00	2.310000e+01	3.71	0.0012
run_12	5.000000e+02	9.090909e-01	1.910000e+01	3.09	0.00096
run_13	5.000000e+02	8.333333e-01	1.610000e+01	2.603	0.00075
run_14	5.000000e+02	7.692308e-01	1.370000e+01	2.232	0.00069
run_15	5.000000e+02	7.142857e-01	1.180000e+01	1.934	0.00061
run_16	5.000000e+02	6.666667e-01	1.030000e+01	1.685	0.00051
run_17	6.000000e+02	1.250000e+00	4.570000e+01	2.331	0.00075
run_18	6.000000e+02	1.111111e+00	3.610000e+01	1.855	0.00064
run_19	6.000000e+02	1.000000e+00	2.930000e+01	1.506	0.00048
run_20	6.000000e+02	9.090909e-01	2.420000e+01	1.25	0.00038
run_21	6.000000e+02	8.333333e-01	2.040000e+01	1.049	0.00029
run_22	6.000000e+02	7.692308e-01	1.740000e+01	0.8947	0.00027
run_23	6.000000e+02	7.142857e-01	1.500000e+01	0.7718	0.00024
run_24	6.000000e+02	6.666667e-01	1.310000e+01	0.6717	0.00021
run_25	7.500000e+02	1.250000e+00	5.830000e+01	0.7309	0.00027
run_26	7.500000e+02	1.111111e+00	4.610000e+01	0.5744	0.0002
run_27	7.500000e+02	1.000000e+00	3.730000e+01	0.4634	0.00016
run_28	7.500000e+02	9.090909e-01	3.090000e+01	0.381	0.00013
run_29	7.500000e+02	8.333333e-01	2.590000e+01	0.3201	0.00011
run_30	7.500000e+02	7.692308e-01	2.210000e+01	0.2715	9.1e-05
run_31	7.500000e+02	7.142857e-01	1.910000e+01	0.233	7.7e-05
run_32	7.500000e+02	6.666667e-01	1.660000e+01	0.2032	6.5e-05
