#mA (geV)	tanb	coupling	width (GeV)	xs (SusHi NNLO) (pb)	xs (MG LO) (pb)	k factor
400	0.8	1.25	2.36E+01	4.34E+01	14.56	2.98E+00
400	0.9	1.111111111	1.87E+01	3.43E+01	11.79	2.91E+00
400	1	1	1.51E+01	2.78E+01	9.783	2.84E+00
400	1.1	0.909090909	1.25E+01	2.30E+01	8.193	2.80E+00
400	1.2	0.833333333	1.05E+01	1.93E+01	6.965	2.77E+00
400	1.3	0.769230769	8.99E+00	1.65E+01	5.958	2.76E+00
400	1.4	0.714285714	7.76E+00	1.42E+01	5.166	2.75E+00
400	1.5	0.666666667	6.77E+00	1.24E+01	4.522	2.73E+00
500	0.8	1.25	3.61E+01	1.31E+01	5.644	2.32E+00
500	0.9	1.111111111	2.86E+01	1.04E+01	4.516	2.29E+00
500	1	1	2.31E+01	8.39E+00	3.71	2.26E+00
500	1.1	0.909090909	1.91E+01	6.94E+00	3.09	2.25E+00
500	1.2	0.833333333	1.61E+01	5.84E+00	2.603	2.24E+00
500	1.3	0.769230769	1.37E+01	4.98E+00	2.232	2.23E+00
500	1.4	0.714285714	1.18E+01	4.29E+00	1.934	2.22E+00
500	1.5	0.666666667	1.03E+01	3.74E+00	1.685	2.22E+00
600	0.8	1.25	4.57E+01	4.79E+00	2.331	2.05E+00
600	0.9	1.111111111	3.61E+01	3.79E+00	1.855	2.04E+00
600	1	1	2.93E+01	3.07E+00	1.506	2.04E+00
600	1.1	0.909090909	2.42E+01	2.54E+00	1.25	2.03E+00
600	1.2	0.833333333	2.04E+01	2.14E+00	1.049	2.04E+00
600	1.3	0.769230769	1.74E+01	1.82E+00	0.8947	2.04E+00
600	1.4	0.714285714	1.50E+01	1.57E+00	0.7718	2.04E+00
600	1.5	0.666666667	1.31E+01	1.37E+00	0.6717	2.04E+00
750	0.8	1.25	5.83E+01	1.33E+00	0.7309	1.82E+00
750	0.9	1.111111111	4.61E+01	1.05E+00	0.5744	1.83E+00
750	1	1	3.73E+01	8.52E-01	0.4634	1.84E+00
750	1.1	0.909090909	3.09E+01	7.05E-01	0.381	1.85E+00
750	1.2	0.833333333	2.59E+01	5.93E-01	0.3201	1.85E+00
750	1.3	0.769230769	2.21E+01	5.06E-01	0.2715	1.86E+00
750	1.4	0.714285714	1.91E+01	4.37E-01	0.233	1.88E+00
750	1.5	0.666666667	1.66E+01	3.81E-01	0.2032	1.88E+00

