Mass (GeV)	coupling	width (GeV)	xs (pb)	xs uncertainty (pb)	xs at coupling eq 1 (pb)
400	0.510236	4	2.667	0.0024	39.34944639
400	0.8100898	10	6.54	0.0073	15.18605934
450	0.4765355	4.5	1.413	0.0014	27.40066634
450	0.7562308	11.25	3.506	0.0031	10.71999211
500	0.4615274	5	0.8065	0.00078	17.77519666
500	0.7324061	12.5	2.016	0.0017	7.006203003
550	0.4542558	5.5	0.4871	0.00047	11.43974134
550	0.7209107	13.75	1.225	0.0013	4.53534368
600	0.4498532	6	0.3049	0.00029	7.445162269
600	0.7147547	15	0.7744	0.00073	2.967134717
650	0.4474667	6.5	0.1976	0.00019	4.928832458
650	0.7107035	16.25	0.5023	0.00055	1.968835182
700	0.4462367	7	0.1313	0.00012	3.31133855
700	0.7085169	17.5	0.3344	0.00039	1.326983167
750	0.4457422	7.5	0.08922	0.000085	2.260097682
750	0.7075644	18.75	0.2281	0.00021	0.910041902
400	1.145786	20	12.37	0.011	7.177210005
450	1.068902	22.5	6.741	0.005	5.163839895
500	1.035459	25	3.925	0.0039	3.414349954
550	1.019267	27.5	2.408	0.0023	2.231025982
600	1.010569	30	1.534	0.0016	1.47082659
650	1.006791	32.5	1.01	0.0011	0.983023897
700	1.003223	35	0.6765	0.00077	0.667848385
750	1.002096	37.5	0.465	0.00046	0.461121783
