#run#	ma0	gA0tt	a0width	xs (pb)	uncertainty (pb)	xs at coupling eq 1 (pb)
run_01	4.00E+02	5.10E-01	4.00E+00	0.6411	0.00051	9.46E+00
run_02	4.00E+02	8.10E-01	1.00E+01	1.572	0.0012	3.65E+00
run_03	4.50E+02	4.77E-01	4.50E+00	0.34	0.00029	6.59E+00
run_04	4.50E+02	7.56E-01	1.13E+01	0.8448	0.00067	2.58E+00
run_05	5.00E+02	4.62E-01	5.00E+00	0.1941	0.00016	4.28E+00
run_06	5.00E+02	7.32E-01	1.25E+01	0.4853	0.00039	1.69E+00
run_07	5.50E+02	4.54E-01	5.50E+00	0.1173	9.80E-05	2.75E+00
run_08	5.50E+02	7.21E-01	1.38E+01	0.2951	0.00022	1.09E+00
run_09	6.00E+02	4.50E-01	6.00E+00	0.07354	5.80E-05	1.80E+00
run_10	6.00E+02	7.15E-01	1.50E+01	0.1866	0.00015	7.15E-01
run_11	6.50E+02	4.47E-01	6.50E+00	0.0476	3.80E-05	1.19E+00
run_12	6.50E+02	7.11E-01	1.63E+01	0.1213	0.0001	4.75E-01
run_13	7.00E+02	4.46E-01	7.00E+00	0.03169	2.50E-05	7.99E-01
run_14	7.00E+02	7.09E-01	1.75E+01	0.08084	6.80E-05	3.21E-01
run_15	7.50E+02	4.46E-01	7.50E+00	0.02153	1.70E-05	5.45E-01
run_16	7.50E+02	7.08E-01	1.88E+01	0.05512	4.60E-05	2.20E-01
run_01	4.00E+02	1.15E+00	2.00E+01	2.968	0.0024	1.72E+00
run_02	4.50E+02	1.07E+00	2.25E+01	1.623	0.0013	1.24E+00
run_03	5.00E+02	1.04E+00	2.50E+01	0.9469	0.00082	8.24E-01
run_04	5.50E+02	1.02E+00	2.75E+01	0.581	0.00047	5.38E-01
run_05	6.00E+02	1.01E+00	3.00E+01	0.3701	0.0003	3.55E-01
run_06	6.50E+02	1.01E+00	3.25E+01	0.2438	0.00021	2.37E-01
run_07	7.00E+02	1.00E+00	3.50E+01	0.1632	0.00013	1.61E-01
run_08	7.50E+02	1.00E+00	3.75E+01	0.1121	9.80E-05	1.11E-01
