#run#	mH0	gH0tt	H0width	xs (pb)	uncertainty (pb)	xs at coupling eq 1 (pb)
run_01	4.50E+02	6.91E-01	4.50E+00	-0.9024	0.0047	-1.89E+00
run_02	4.50E+02	1.20E+00	1.13E+01	-2.69	0.0091	-1.85E+00
run_03	4.50E+02	1.79E+00	2.25E+01	-5.78	0.014	-1.81E+00
run_04	5.00E+02	6.04E-01	5.00E+00	-0.4043	0.0018	-1.11E+00
run_05	5.00E+02	9.75E-01	1.25E+01	-1.059	0.0041	-1.11E+00
run_06	5.00E+02	1.51E+00	2.50E+01	-2.544	0.0087	-1.11E+00
run_07	5.50E+02	5.64E-01	5.50E+00	-0.1915	0.0016	-6.02E-01
run_08	5.50E+02	8.84E-01	1.38E+01	-0.4724	0.0032	-6.04E-01
run_09	5.50E+02	1.31E+00	2.75E+01	-1.083	0.0051	-6.28E-01
run_10	6.00E+02	5.30E-01	6.00E+00	-0.07302	0.0012	-2.60E-01
run_11	6.00E+02	8.76E-01	1.50E+01	-0.2154	0.0021	-2.81E-01
run_12	6.00E+02	1.30E+00	3.00E+01	-0.534	0.0039	-3.15E-01
run_13	6.50E+02	5.26E-01	6.50E+00	-0.0171	0.00086	-6.19E-02
run_14	6.50E+02	8.69E-01	1.63E+01	-0.06242	0.0019	-8.26E-02
run_15	6.50E+02	1.15E+00	3.25E+01	-0.1415	0.0016	-1.07E-01
run_16	7.00E+02	4.97E-01	7.00E+00	0.01322	0.00059	5.35E-02
run_17	7.00E+02	7.99E-01	1.75E+01	0.01982	0.0012	3.11E-02
run_18	7.00E+02	1.15E+00	3.50E+01	0.01057	0.0013	8.04E-03
run_19	7.50E+02	4.95E-01	7.50E+00	0.02793	0.00026	1.14E-01
run_20	7.50E+02	7.95E-01	1.88E+01	0.06375	0.0009	1.01E-01
run_21	7.50E+02	1.14E+00	3.75E+01	0.09701	0.0013	7.44E-02
