#run#	mH0	gH0tt	H0width	xs (pb)	uncertainty (pb)
run_12	4.000000e+02	1.385193e+00	8.895729e+00	5.705	0.0018
run_13	4.000000e+02	1.236099e+00	7.237214e+00	4.458	0.0014
run_14	4.000000e+02	1.117134e+00	6.017310e+00	3.583	0.0011
run_15	4.000000e+02	1.019482e+00	5.117575e+00	2.925	0.00094
run_16	4.000000e+02	9.380430e-01	4.399660e+00	2.441	0.00077
run_17	4.000000e+02	8.685947e-01	3.848765e+00	2.054	0.00061
run_18	4.000000e+02	8.089080e-01	3.390186e+00	1.754	0.00055
run_19	4.000000e+02	7.569390e-01	3.014295e+00	1.514	0.00046
run_20	5.000000e+02	1.328250e+00	2.364407e+01	2.997	0.00095
run_21	5.000000e+02	1.184707e+00	1.892152e+01	2.404	0.00044
run_22	5.000000e+02	1.069592e+00	1.552691e+01	1.968	0.00062
run_23	5.000000e+02	9.750598e-01	1.298694e+01	1.637	0.00046
run_24	5.000000e+02	8.962108e-01	1.104662e+01	1.382	0.00042
run_25	5.000000e+02	8.290746e-01	9.505269e+00	1.182	0.00035
run_26	5.000000e+02	7.715200e-01	8.273885e+00	1.022	0.00029
run_27	5.000000e+02	7.214618e-01	7.270223e+00	0.8925	0.00027
run_28	6.000000e+02	1.302020e+00	3.578449e+01	1.401	0.00044
run_29	6.000000e+02	1.160269e+00	2.852358e+01	1.123	0.00036
run_30	6.000000e+02	1.046596e+00	2.329644e+01	0.9206	0.00028
run_31	6.000000e+02	9.535301e-01	1.940695e+01	0.7671	0.00023
run_32	6.000000e+02	8.756760e-01	1.642260e+01	0.6486	0.0002
run_47	6.000000e+02	8.095638e-01	1.408304e+01	0.5549	0.00017
run_48	6.000000e+02	7.529710e-01	1.222027e+01	0.4805	0.00014
run_49	6.000000e+02	7.036100e-01	1.070559e+01	0.4193	0.00013
run_36	7.500000e+02	1.282184e+00	5.096778e+01	0.4814	0.00017
run_37	7.500000e+02	1.141558e+00	4.049148e+01	0.3838	0.00012
run_38	7.500000e+02	1.029222e+00	3.299517e+01	0.3132	9.7e-05
run_39	7.500000e+02	9.366621e-01	2.737569e+01	0.2599	8.6e-05
run_40	7.500000e+02	8.598637e-01	2.312184e+01	0.2194	6.8e-05
run_41	7.500000e+02	7.946653e-01	1.979238e+01	0.1874	3.7e-05
run_42	7.500000e+02	7.385645e-01	1.712640e+01	0.162	5.5e-05
run_43	7.500000e+02	6.897230e-01	1.496181e+01	0.1412	4.3e-05
