#mH (geV)	tanb	coupling	width (GeV)	xs (SusHi NNLO) (pb)	xs (MG LO) (pb)	k factor
400	0.8	1.39E+00	8.90E+00	18.046175	5.705	3.16E+00
400	0.9	1.24E+00	7.24E+00	14.3733864	4.458	3.22E+00
400	1	1.12E+00	6.02E+00	11.7568994	3.583	3.28E+00
400	1.1	1.02E+00	5.12E+00	9.79531065	2.925	3.35E+00
400	1.2	9.38E-01	4.40E+00	8.30988283	2.441	3.40E+00
400	1.3	8.69E-01	3.85E+00	7.12670303	2.054	3.47E+00
400	1.4	8.09E-01	3.39E+00	6.18986409	1.754	3.53E+00
400	1.5	7.57E-01	3.01E+00	5.42705185	1.514	3.58E+00
500	0.8	1.33E+00	2.36E+01	7.7803388	2.997	2.60E+00
500	0.9	1.18E+00	1.89E+01	6.19569152	2.404	2.58E+00
500	1	1.07E+00	1.55E+01	5.04923663	1.968	2.57E+00
500	1.1	9.75E-01	1.30E+01	4.19500573	1.637	2.56E+00
500	1.2	8.96E-01	1.10E+01	3.54150151	1.382	2.56E+00
500	1.3	8.29E-01	9.51E+00	3.0312046	1.182	2.56E+00
500	1.4	7.72E-01	8.27E+00	2.62674533	1.022	2.57E+00
500	1.5	7.21E-01	7.27E+00	2.29846023	0.8925	2.58E+00
600	0.8	1.30E+00	3.58E+01	3.26643557	1.401	2.33E+00
600	0.9	1.16E+00	2.85E+01	2.59356983	1.123	2.31E+00
600	1	1.05E+00	2.33E+01	2.10905395	0.9206	2.29E+00
600	1.1	9.54E-01	1.94E+01	1.75074677	0.7671	2.28E+00
600	1.2	8.76E-01	1.64E+01	1.47614978	0.6486	2.28E+00
600	1.3	8.10E-01	1.41E+01	1.26059973	0.5549	2.27E+00
600	1.4	7.53E-01	1.22E+01	1.09087233	0.4805	2.27E+00
600	1.5	7.04E-01	1.07E+01	0.951076775	0.4193	2.27E+00
750	0.8	1.28E+00	5.10E+01	0.998792816	0.4814	2.07E+00
750	0.9	1.14E+00	4.05E+01	0.791034105	0.3838	2.06E+00
750	1	1.03E+00	3.30E+01	0.642718745	0.3132	2.05E+00
750	1.1	9.37E-01	2.74E+01	0.531919932	0.2599	2.05E+00
750	1.2	8.60E-01	2.31E+01	0.448191069	0.2194	2.04E+00
750	1.3	7.95E-01	1.98E+01	0.382364798	0.1874	2.04E+00
750	1.4	7.39E-01	1.71E+01	0.330066431	0.162	2.04E+00
750	1.5	6.90E-01	1.50E+01	0.287285354	0.1412	2.03E+00

