#run#	mH0	gH0tt	H0width	xs (pb)	uncertainty (pb)	xs at coupling eq 1 (pb)
run_01	4.50E+02	6.91E-01	4.50E+00	1.144	0.00035	5.02E+00
run_02	4.50E+02	1.20E+00	1.13E+01	4.128	0.0013	1.96E+00
run_03	4.50E+02	1.79E+00	2.25E+01	9.638	0.0027	9.43E-01
run_04	5.00E+02	6.04E-01	5.00E+00	0.6417	0.00019	4.83E+00
run_05	5.00E+02	9.75E-01	1.25E+01	1.704	0.00053	1.89E+00
run_06	5.00E+02	1.51E+00	2.50E+01	4.748	0.0015	9.07E-01
run_07	5.50E+02	5.64E-01	5.50E+00	0.4038	0.00011	3.99E+00
run_08	5.50E+02	8.84E-01	1.38E+01	0.9552	0.00025	1.56E+00
run_09	5.50E+02	1.31E+00	2.75E+01	2.244	0.00065	7.55E-01
run_10	6.00E+02	5.30E-01	6.00E+00	0.2432	7.30E-05	3.08E+00
run_11	6.00E+02	8.76E-01	1.50E+01	0.7119	2.40E-04	1.21E+00
run_12	6.00E+02	1.30E+00	3.00E+01	1.69	0.00053	5.88E-01
run_13	6.50E+02	5.26E-01	6.50E+00	0.1759	5.20E-05	2.31E+00
run_14	6.50E+02	8.69E-01	1.63E+01	0.519	1.60E-04	9.10E-01
run_15	6.50E+02	1.15E+00	3.25E+01	0.7833	0.00024	4.44E-01
run_16	7.00E+02	4.97E-01	7.00E+00	0.104	3.20E-05	1.70E+00
run_17	7.00E+02	7.99E-01	1.75E+01	0.274	9.00E-05	6.74E-01
run_18	7.00E+02	1.15E+00	3.50E+01	0.5707	1.90E-04	3.30E-01
run_19	7.50E+02	4.95E-01	7.50E+00	0.07488	2.30E-05	1.25E+00
run_20	7.50E+02	7.95E-01	1.88E+01	0.198	6.20E-05	4.97E-01
run_21	7.50E+02	1.14E+00	3.75E+01	0.4156	1.30E-04	2.45E-01
