# mH	tan(beta)	H width in GeV	ggh XS in pb	g
400	0.7	11.3689368	23.4032096	1.57840441719
400	0.8	8.89572948	18.046175	1.38519287371
400	0.9	7.23721414	14.3733864	1.23609886056
400	1.0	6.01731027	11.7568994	1.11713413492
400	1.1	5.11757542	9.79531065	1.01948202196
400	1.2	4.39965953	8.30988283	0.93804296515
400	1.3	3.84876506	7.12670303	0.868594749142
400	1.4	3.39018571	6.18986409	0.808907976324
400	1.5	3.01429539	5.42705185	0.756938966735
400	1.6	2.69894747	4.80044532	0.711325379874
400	1.7	2.43337378	4.27416363	0.670782326356
400	1.8	2.20347092	3.83622819	0.634778230583
400	1.9	2.00899469	3.45772756	0.602261830463
400	2.0	1.83671767	3.13968378	0.57312356655
400	2.1	1.69291762	2.85720515	0.546479794516
400	2.2	1.56035926	2.61654394	0.522275035401
400	2.3	1.44614294	2.40448082	0.500122089853
400	2.4	1.34523976	2.21570407	0.479658959859
400	2.5	1.25382205	2.05076841	0.460854852106
400	2.6	1.17525842	1.90430465	0.443569947629
400	2.7	1.09953471	1.77351279	0.427351079687
400	2.8	1.03481554	1.65699625	0.412420885997
400	2.9	0.978410945	1.54866566	0.398341435161
400	3.0	0.924898441	1.45559782	0.385390907535
400	3.1	0.878352075	1.36839883	0.373134910951
400	3.2	0.834997722	1.28801977	0.361500037954
400	3.3	0.797019905	1.21794133	0.350831195918
400	3.4	0.764184378	1.15165088	0.340685374828
400	3.5	0.731184031	1.09153823	0.331012300495
400	3.6	0.7029065	1.03697076	0.321988954282
400	3.7	0.676515254	0.986147062	0.313364992439
400	3.8	0.651804024	0.938693634	0.3051043421
400	3.9	0.631224418	0.895653929	0.297414601418
400	4.0	0.612007422	0.855363857	0.290038572302
400	4.1	0.594020266	0.817565775	0.282949912914
400	4.2	0.578153686	0.784473356	0.276382697992
400	4.3	0.565020468	0.752355966	0.270069221312
400	4.4	0.552820619	0.722116092	0.263990089824
400	4.5	0.540026795	0.694564885	0.258127431035
400	4.6	0.529526992	0.667599045	0.252464696926
400	4.7	0.521072717	0.64439112	0.247274117482
400	4.8	0.512024681	0.620185041	0.241973657669
400	4.9	0.50502081	0.599467837	0.237131074986
400	5.0	0.499893695	0.578995469	0.232447327019
400	5.1	0.494151685	0.560402958	0.227911797935
400	5.2	0.490126325	0.54194013	0.223514578132
400	5.3	0.485494859	0.525172518	0.219246382778
400	5.4	0.484062843	0.510615503	0.215428013453
400	5.5	0.481478084	0.494636107	0.21139971246
400	5.6	0.480983928	0.481537232	0.207817246766
400	5.7	0.478257531	0.467675934	0.203999373489
400	5.8	0.479578269	0.455109167	0.200626270265
400	5.9	0.477652917	0.442423381	0.196992597055
400	6.0	0.478798322	0.431690228	0.193805424629
400	6.1	0.480313845	0.421454954	0.190705810504
400	6.2	0.483037463	0.411006032	0.187689068945
400	6.3	0.485229747	0.401687913	0.184750783474
400	6.4	0.487750886	0.392782481	0.181886783107
400	6.5	0.490589014	0.384264727	0.17909312042
400	6.6	0.49451541	0.375462477	0.176366051205
400	6.7	0.497939561	0.367660327	0.173702015466
400	6.8	0.501651077	0.3601818	0.171097619534
400	6.9	0.50564129	0.353007813	0.168549619094
400	7.0	0.512586836	0.347581352	0.166479805429
400	7.1	0.517110029	0.34097452	0.16404337372
400	7.2	0.522591382	0.334010487	0.161654804004
400	7.3	0.527608513	0.327907126	0.159311336983
400	7.4	0.535556417	0.323511968	0.15746063354
400	7.5	0.541056122	0.317868699	0.15520892106
400	7.6	0.546789838	0.312430638	0.152995061527
400	7.7	0.555434828	0.308681071	0.151286637057
400	7.8	0.5616211	0.303631984	0.149151946319
400	7.9	0.570707163	0.300259241	0.147529453622
400	8.0	0.577961497	0.294980314	0.145466575574
400	8.1	0.587469974	0.291953323	0.143923689771
400	8.2	0.594503918	0.287582196	0.141925829243
400	8.3	0.604424417	0.284869343	0.1404568313
400	8.4	0.61186708	0.280787563	0.138517662722
400	8.5	0.622187331	0.278364822	0.137117368605
400	8.6	0.630027291	0.274545447	0.135230951662
400	8.7	0.640736473	0.272386084	0.133894651207
400	8.8	0.651635757	0.270346315	0.132588721218
400	8.9	0.660052196	0.26688948	0.130778754675
400	9.0	0.671326369	0.265085131	0.129530527459
400	9.1	0.680701599	0.261266609	0.127760355736
400	9.2	0.692342793	0.259680456	0.126566089134
400	9.3	0.704164186	0.258192486	0.125397505683
400	9.4	0.713495541	0.255234153	0.123686879821
400	9.5	0.725673703	0.253941391	0.122567226966
400	9.6	0.738027196	0.252736705	0.121470900211
400	9.7	0.747891525	0.250031998	0.119810965374
400	9.8	0.760592888	0.249003368	0.118759145471
400	9.9	0.77346546	0.248053965	0.117728574454
400	10.0	0.786507993	0.247181021	0.116718614858
400	10.1	0.797063542	0.244779676	0.115121021144
400	10.2	0.810444026	0.244060108	0.11415046203
400	10.3	0.823991147	0.243410074	0.113198748723
400	10.4	0.83770387	0.24282749	0.112265337595
400	10.5	0.848933225	0.240683832	0.110718135287
400	10.6	0.862975834	0.240237341	0.109819770507
400	10.7	0.87776603	0.239273737	0.108938197592
400	10.8	0.892136611	0.238945992	0.108072950101
400	10.9	0.904022471	0.237021185	0.106565016601
400	11.0	0.918716623	0.236817803	0.105731079987
400	11.1	0.933570682	0.236667892	0.104912169258
400	11.2	0.948583941	0.236571165	0.104107881935
400	11.3	0.96375578	0.236526313	0.103317829786
400	11.4	0.979085604	0.236531857	0.1025416382
400	11.5	0.99193884	0.234905123	0.101089608153
400	11.6	1.00758428	0.235014054	0.100340057928
400	11.7	1.02338589	0.235169601	0.0996033205275
400	11.8	1.03934319	0.235370448	0.0988790702015
400	11.9	1.05545568	0.235615679	0.09816699215
400	12.0	1.06910084	0.234176906	0.0967419393258
400	12.1	1.08552387	0.234513652	0.0960532960751
400	12.2	1.10210064	0.234891677	0.095375942058
400	12.3	1.1188308	0.235310058	0.0947096019274
400	12.4	1.13571386	0.235767932	0.0940540092182
400	12.5	1.15274952	0.236264297	0.0934089059924
400	12.6	1.16993733	0.236798517	0.0927740425004
400	12.7	1.18467157	0.235593339	0.0913827159236
400	12.8	1.20216439	0.236205916	0.0907676076559
400	12.9	1.21980832	0.236853972	0.0901620359505
400	13.0	1.23760302	0.237536885	0.0895657807329
400	13.1	1.25554829	0.238253888	0.0889786286483
400	13.2	1.27364373	0.239004392	0.0884003728074
400	13.3	1.29188912	0.239787739	0.0878308125431
400	13.4	1.3102842	0.240603335	0.0872697531783
400	13.5	1.32882868	0.241450682	0.0867170058041
400	13.6	1.34493903	0.240492802	0.0853562172075
400	13.7	1.36378324	0.241405977	0.0848195437425
400	13.8	1.38277611	0.242349114	0.0842906481538
400	13.9	1.40262865	0.242655049	0.0837693625735
400	14.0	1.42192482	0.243652396	0.0832555239302
400	14.1	1.4413691	0.244678233	0.0827489737782
400	14.2	1.46096126	0.245732116	0.0822495581354
400	14.3	1.48070112	0.246813635	0.0817571273268
400	14.4	1.50058849	0.247921945	0.0812715358349
400	14.5	1.5206232	0.249057169	0.0807926421568
400	14.6	1.53824259	0.248303412	0.079443327928
400	14.7	1.5585732	0.249494839	0.0789774160838
400	14.8	1.57905058	0.250711934	0.0785178003456
400	14.9	1.59967463	0.251954379	0.0780643539462
400	15.0	1.62044514	0.25322184	0.0776169534988
400	15.1	1.64136196	0.254513982	0.0771754788851
400	15.2	1.66242499	0.255830469	0.0767398131479
400	15.3	1.68363408	0.257171066	0.0763098423877
400	15.4	1.70498908	0.258535488	0.0758854556633
400	15.5	1.72648989	0.259923466	0.0754665448966
400	15.6	1.74813638	0.26133453	0.0750530047808
400	15.7	1.7699284	0.262768569	0.074644732692
400	15.8	1.78933957	0.26219552	0.0732878496828
400	15.9	1.81142428	0.263677148	0.0728898121061
400	16.0	1.83365416	0.265180891	0.0724967499992
400	16.1	1.85602911	0.266706512	0.0721085706514
400	16.2	1.87854903	0.268253795	0.0717251836412
400	16.3	1.90121383	0.269822512	0.0713465007661
400	16.4	1.92402342	0.271412468	0.0709724359748
400	16.5	1.94697767	0.273023492	0.0706029053022
400	16.6	1.97007654	0.274655363	0.0702378268064
400	16.7	1.9933199	0.276307808	0.0698771205082
400	16.8	2.01670767	0.277980727	0.0695207083326
400	16.9	2.04023977	0.279673905	0.0691685140525
400	17.0	2.06391618	0.281387111	0.0688204632345
400	17.1	2.08773672	0.283120249	0.0684764831864
400	17.2	2.11170143	0.284873044	0.0681365029062
400	17.3	2.13581013	0.286645607	0.0678004530339
400	17.4	2.16006281	0.288437582	0.0674682658038
400	17.5	2.18198782	0.288058451	0.0660847538954
400	17.6	2.2065303	0.289890215	0.0657600915577
400	17.7	2.23121648	0.291740899	0.0654390977211
400	17.8	2.25604636	0.293610362	0.0651217105567
400	17.9	2.28101984	0.295498544	0.0648078696177
400	18.0	2.30613691	0.297405183	0.0644975158002
400	18.1	2.3313974	0.299330231	0.0641905913066
400	18.2	2.35680138	0.301273432	0.0638870396097
400	18.3	2.38234868	0.30323479	0.0635868054177
400	18.4	2.40803937	0.305214292	0.0632898346408
400	18.5	2.43387328	0.307211499	0.0629960743587
400	18.6	2.45985042	0.309226455	0.0627054727894
400	18.7	2.48597081	0.311259349	0.0624179792583
400	18.8	2.51223423	0.313310069	0.062133544169
400	18.9	2.5386408	0.315378166	0.0618521189748
400	19.0	2.56519038	0.317463625	0.061573656151
400	19.1	2.59188292	0.319566273	0.0612981091684
