# mA	tan(beta)	A width in GeV	ggh XS in pb	g
400	0.8	23.586153	15.3685085	1.25
400	0.9	18.657063	12.137753	1.11111111111
400	1.0	15.1300466	9.82683685	1.0
400	1.1	12.5190417	8.11704491	0.909090909091
400	1.2	10.5322181	6.81663288	0.833333333333
400	1.3	8.98546387	5.80463175	0.769230769231
400	1.4	7.75747761	5.00166528	0.714285714286
400	1.5	6.76657051	4.35389853	0.666666666667
500	0.8	36.1155914	4.8989686	1.25
500	0.9	28.5563556	3.87175268	1.11111111111
500	1.0	23.1479146	3.13699768	1.0
500	1.1	19.1451163	2.59336867	0.909090909091
500	1.2	16.1000234	2.1799009	0.833333333333
500	1.3	13.729442	1.8581325	0.769230769231
500	1.4	11.84794	1.60282593	0.714285714286
500	1.5	10.330349	1.39686447	0.666666666667
600	0.8	45.7060254	1.84197633	1.25
600	0.9	36.1322734	1.45619052	1.11111111111
600	1.0	29.2836106	1.18024232	1.0
600	1.1	24.2155312	0.976074032	0.909090909091
600	1.2	20.3593492	0.820789489	0.833333333333
600	1.3	17.3592982	0.699943812	0.769230769231
600	1.4	14.9781448	0.604058696	0.714285714286
600	1.5	13.0565434	0.526705724	0.666666666667
750	0.8	58.261715	0.524454779	1.25
750	0.9	46.0500231	0.414701132	1.11111111111
750	1.0	37.3172935	0.336195509	1.0
750	1.1	30.8525858	0.27811075	0.909090909091
750	1.2	25.936596	0.233933057	0.833333333333
750	1.3	22.110045	0.199552959	0.769230769231
750	1.4	19.0755801	0.172273944	0.714285714286
750	1.5	16.6274633	0.150267171	0.666666666667
