# mA	tan(beta)	A width in GeV	ggh XS in pb	g
400	0.8	23.586153	24.1717748	1.25
400	0.9	18.657063	19.0904037	1.11111111111
400	1.0	15.1300466	15.4557671	1.0
400	1.1	12.5190417	12.7665858	0.909090909091
400	1.2	10.5322181	10.7212821	0.833333333333
400	1.3	8.98546387	9.12959457	0.769230769231
400	1.4	7.75747761	7.86667925	0.714285714286
400	1.5	6.76657051	6.84786393	0.666666666667
500	0.8	36.1155914	7.8922903	1.25
500	0.9	28.5563556	6.23743458	1.11111111111
500	1.0	23.1479146	5.05373648	1.0
500	1.1	19.1451163	4.17794439	0.909090909091
500	1.2	16.1000234	3.51184343	0.833333333333
500	1.3	13.729442	2.99347113	0.769230769231
500	1.4	11.84794	2.58216954	0.714285714286
500	1.5	10.330349	2.25036346	0.666666666667
600	0.8	45.7060254	3.02267874	1.25
600	0.9	36.1322734	2.38960515	1.11111111111
600	1.0	29.2836106	1.93677483	1.0
600	1.1	24.2155312	1.60173515	0.909090909091
600	1.2	20.3593492	1.34691359	0.833333333333
600	1.3	17.3592982	1.14860612	0.769230769231
600	1.4	14.9781448	0.991258874	0.714285714286
600	1.5	13.0565434	0.864322832	0.666666666667
750	0.8	58.261715	0.879323304	1.25
750	0.9	46.0500231	0.695305647	1.11111111111
750	1.0	37.3172935	0.563679764	1.0
750	1.1	30.8525858	0.466292374	0.909090909091
750	1.2	25.936596	0.392222165	0.833333333333
750	1.3	22.110045	0.334579023	0.769230769231
750	1.4	19.0755801	0.28884186	0.714285714286
750	1.5	16.6274633	0.251944363	0.666666666667
