# mA	tan(beta)	A width in GeV	ggh XS in pb	g
400	0.8	23.586153	41.6622248	1.25
400	0.9	18.657063	32.9256415	1.11111111111
400	1.0	15.1300466	26.6764331	1.0
400	1.1	12.5190417	22.0527654	0.909090909091
400	1.2	10.5322181	18.5361719	0.833333333333
400	1.3	8.98546387	15.7994912	0.769230769231
400	1.4	7.75747761	13.6280689	0.714285714286
400	1.5	6.76657051	11.8763225	0.666666666667
500	0.8	36.1155914	12.4001322	1.25
500	0.9	28.5563556	9.8046655	1.11111111111
500	1.0	23.1479146	7.94815205	1.0
500	1.1	19.1451163	6.57455422	0.909090909091
500	1.2	16.1000234	5.52982922	0.833333333333
500	1.3	13.729442	4.71680011	0.769230769231
500	1.4	11.84794	4.07169882	0.714285714286
500	1.5	10.330349	3.55127663	0.666666666667
600	0.8	45.7060254	4.51114327	1.25
600	0.9	36.1322734	3.56759534	1.11111111111
600	1.0	29.2836106	2.89268439	1.0
600	1.1	24.2155312	2.39333113	0.909090909091
600	1.2	20.3593492	2.01353581	0.833333333333
600	1.3	17.3592982	1.71796909	0.769230769231
600	1.4	14.9781448	1.4834506	0.714285714286
600	1.5	13.0565434	1.29425686	0.666666666667
750	0.8	58.261715	1.24810007	1.25
750	0.9	46.0500231	0.987157683	1.11111111111
750	1.0	37.3172935	0.800508072	1.0
750	1.1	30.8525858	0.662409427	0.909090909091
750	1.2	25.936596	0.557375115	0.833333333333
750	1.3	22.110045	0.4756347	0.769230769231
750	1.4	19.0755801	0.410777184	0.714285714286
750	1.5	16.6274633	0.358454443	0.666666666667
