# mA	tan(beta)	A width in GeV	ggh XS in pb	g
400	0.8	23.586153	35.6015751	1.25
400	0.9	18.657063	28.1326632	1.11111111111
400	1.0	15.1300466	22.7902241	1.0
400	1.1	12.5190417	18.8374637	0.909090909091
400	1.2	10.5322181	15.8311003	0.833333333333
400	1.3	8.98546387	13.4914716	0.769230769231
400	1.4	7.75747761	11.635085	0.714285714286
400	1.5	6.76657051	10.137481	0.666666666667
500	0.8	36.1155914	10.7259353	1.25
500	0.9	28.5563556	8.48012761	1.11111111111
500	1.0	23.1479146	6.87372381	1.0
500	1.1	19.1451163	5.68518037	0.909090909091
500	1.2	16.1000234	4.78120707	0.833333333333
500	1.3	13.729442	4.07771501	0.769230769231
500	1.4	11.84794	3.51952556	0.714285714286
500	1.5	10.330349	3.06921754	0.666666666667
600	0.8	45.7060254	3.92851334	1.25
600	0.9	36.1322734	3.106604	1.11111111111
600	1.0	29.2836106	2.51870033	1.0
600	1.1	24.2155312	2.08372238	0.909090909091
600	1.2	20.3593492	1.75288976	0.833333333333
600	1.3	17.3592982	1.49542811	0.769230769231
600	1.4	14.9781448	1.29114391	0.714285714286
600	1.5	13.0565434	1.12634149	0.666666666667
750	0.8	58.261715	1.09414453	1.25
750	0.9	46.0500231	0.865343522	1.11111111111
750	1.0	37.3172935	0.701684396	1.0
750	1.1	30.8525858	0.580596053	0.909090909091
750	1.2	25.936596	0.488499397	0.833333333333
750	1.3	22.110045	0.416827469	0.769230769231
750	1.4	19.0755801	0.359958937	0.714285714286
750	1.5	16.6274633	0.314081235	0.666666666667
