# mA	tan(beta)	A width in GeV	ggh XS in pb	g
400	0.8	23.586153	30.5101069	1.25
400	0.9	18.657063	24.1072464	1.11111111111
400	1.0	15.1300466	19.527347	1.0
400	1.1	12.5190417	16.1387778	0.909090909091
400	1.2	10.5322181	13.5615358	0.833333333333
400	1.3	8.98546387	11.5558734	0.769230769231
400	1.4	7.75747761	9.9644813	0.714285714286
400	1.5	6.76657051	8.68066911	0.666666666667
500	0.8	36.1155914	9.24680053	1.25
500	0.9	28.5563556	7.31022831	1.11111111111
500	1.0	23.1479146	5.92502112	1.0
500	1.1	19.1451163	4.90013566	0.909090909091
500	1.2	16.1000234	4.12063683	0.833333333333
500	1.3	13.729442	3.51401411	0.769230769231
500	1.4	11.84794	3.032688	0.714285714286
500	1.5	10.330349	2.64438895	0.666666666667
600	0.8	45.7060254	3.39456774	1.25
600	0.9	36.1322734	2.68423533	1.11111111111
600	1.0	29.2836106	2.17614184	1.0
600	1.1	24.2155312	1.80021373	0.909090909091
600	1.2	20.3593492	1.51429288	0.833333333333
600	1.3	17.3592982	1.29178315	0.769230769231
600	1.4	14.9781448	1.11523201	0.714285714286
600	1.5	13.0565434	0.972802989	0.666666666667
750	0.8	58.261715	0.94686258	1.25
750	0.9	46.0500231	0.748833567	1.11111111111
750	1.0	37.3172935	0.607185387	1.0
750	1.1	30.8525858	0.502382575	0.909090909091
750	1.2	25.936596	0.42267227	0.833333333333
750	1.3	22.110045	0.360639734	0.769230769231
750	1.4	19.0755801	0.311419651	0.714285714286
750	1.5	16.6274633	0.271712238	0.666666666667
