# mA	tan(beta)	A width in GeV	ggh XS in pb	g
400	0.8	23.586153	45.2254764	1.25
400	0.9	18.657063	35.7409723	1.11111111111
400	1.0	15.1300466	28.9568068	1.0
400	1.1	12.5190417	23.9373347	0.909090909091
400	1.2	10.5322181	20.1196579	0.833333333333
400	1.3	8.98546387	17.1486507	0.769230769231
400	1.4	7.75747761	14.7912981	0.714285714286
400	1.5	6.76657051	12.8895641	0.666666666667
500	0.8	36.1155914	13.4179832	1.25
500	0.9	28.5563556	10.608901	1.11111111111
500	1.0	23.1479146	8.59959255	1.0
500	1.1	19.1451163	7.11294826	0.909090909091
500	1.2	16.1000234	5.98224495	0.833333333333
500	1.3	13.729442	5.10230313	0.769230769231
500	1.4	11.84794	4.40410787	0.714285714286
500	1.5	10.330349	3.84085135	0.666666666667
600	0.8	45.7060254	4.86379226	1.25
600	0.9	36.1322734	3.84623021	1.11111111111
600	1.0	29.2836106	3.11837789	1.0
600	1.1	24.2155312	2.57985331	0.909090909091
600	1.2	20.3593492	2.17026548	0.833333333333
600	1.3	17.3592982	1.85151388	0.769230769231
600	1.4	14.9781448	1.59859812	0.714285714286
600	1.5	13.0565434	1.39456254	0.666666666667
750	0.8	58.261715	1.34009924	1.25
750	0.9	46.0500231	1.05984827	1.11111111111
750	1.0	37.3172935	0.859387346	1.0
750	1.1	30.8525858	0.711069816	0.909090909091
750	1.2	25.936596	0.598263209	0.833333333333
750	1.3	22.110045	0.510474126	0.769230769231
750	1.4	19.0755801	0.440817162	0.714285714286
750	1.5	16.6274633	0.384622468	0.666666666667
