# mA	tan(beta)	A width in GeV	ggh XS in pb	g
400	0.8	23.586153	43.4157817	1.25
400	0.9	18.657063	34.3067929	1.11111111111
400	1.0	15.1300466	27.791224	1.0
400	1.1	12.5190417	22.9704792	0.909090909091
400	1.2	10.5322181	19.3039422	0.833333333333
400	1.3	8.98546387	16.4505482	0.769230769231
400	1.4	7.75747761	14.1865097	0.714285714286
400	1.5	6.76657051	12.360045	0.666666666667
500	0.8	36.1155914	13.0950787	1.25
500	0.9	28.5563556	10.3520547	1.11111111111
500	1.0	23.1479146	8.38999609	1.0
500	1.1	19.1451163	6.93830547	0.909090909091
500	1.2	16.1000234	5.83418719	0.833333333333
500	1.3	13.729442	4.97493391	0.769230769231
500	1.4	11.84794	4.29315452	0.714285714286
500	1.5	10.330349	3.74314138	0.666666666667
600	0.8	45.7060254	4.78750293	1.25
600	0.9	36.1322734	3.78531211	1.11111111111
600	1.0	29.2836106	3.06845451	1.0
600	1.1	24.2155312	2.53806466	0.909090909091
600	1.2	20.3593492	2.13466333	0.833333333333
600	1.3	17.3592982	1.82072596	0.769230769231
600	1.4	14.9781448	1.57162994	0.714285714286
600	1.5	13.0565434	1.37067587	0.666666666667
750	0.8	58.261715	1.32953084	1.25
750	0.9	46.0500231	1.05132792	1.11111111111
750	1.0	37.3172935	0.852331848	1.0
750	1.1	30.8525858	0.70509821	0.909090909091
750	1.2	25.936596	0.593115868	0.833333333333
750	1.3	22.110045	0.50596819	0.769230769231
750	1.4	19.0755801	0.436820093	0.714285714286
750	1.5	16.6274633	0.381035868	0.666666666667
