# mA	tan(beta)	A width in GeV	ggh XS in pb	g
400	0.8	23.586153	40.3453884	1.25
400	0.9	18.657063	31.8783307	1.11111111111
400	1.0	15.1300466	25.8219284	1.0
400	1.1	12.5190417	21.34091	0.909090909091
400	1.2	10.5322181	17.9327613	0.833333333333
400	1.3	8.98546387	15.280451	0.769230769231
400	1.4	7.75747761	13.1759653	0.714285714286
400	1.5	6.76657051	11.4782107	0.666666666667
500	0.8	36.1155914	12.2826483	1.25
500	0.9	28.5563556	9.70893483	1.11111111111
500	1.0	23.1479146	7.86798314	1.0
500	1.1	19.1451163	6.50589745	0.909090909091
500	1.2	16.1000234	5.4699299	0.833333333333
500	1.3	13.729442	4.66371388	0.769230769231
500	1.4	11.84794	4.02401593	0.714285714286
500	1.5	10.330349	3.50795036	0.666666666667
600	0.8	45.7060254	4.5106538	1.25
600	0.9	36.1322734	3.56608268	1.11111111111
600	1.0	29.2836106	2.89043983	1.0
600	1.1	24.2155312	2.39054388	0.909090909091
600	1.2	20.3593492	2.01033541	0.833333333333
600	1.3	17.3592982	1.71444721	0.769230769231
600	1.4	14.9781448	1.47967237	0.714285714286
600	1.5	13.0565434	1.29027143	0.666666666667
750	0.8	58.261715	1.25745299	1.25
750	0.9	46.0500231	0.994238558	1.11111111111
750	1.0	37.3172935	0.805963588	1.0
750	1.1	30.8525858	0.66666223	0.909090909091
750	1.2	25.936596	0.56071294	0.833333333333
750	1.3	22.110045	0.478260309	0.769230769231
750	1.4	19.0755801	0.412837507	0.714285714286
750	1.5	16.6274633	0.360058568	0.666666666667
