# mA	tan(beta)	A width in GeV	ggh XS in pb	g
400	0.1	1499.47191	2775.21762	10.0
400	0.2	374.872846	693.815433	5.0
400	0.3	166.673659	308.370612	3.33333333333
400	0.4	93.9401615	173.464937	2.5
400	0.5	60.2026518	111.022905	2.0
400	0.6	41.8446649	77.1038152	1.66666666667
400	0.7	30.7736905	56.6517099	1.42857142857
400	0.8	23.5865573	43.3775622	1.25
400	0.9	18.657475	34.2768857	1.11111111111
400	1.0	15.1302191	27.767265	1.0
400	1.1	12.5194663	22.950915	0.909090909091
400	1.2	10.5326481	19.2877273	0.833333333333
400	1.3	8.98565234	16.4369546	0.769230769231
400	1.4	7.75767053	14.1750035	0.714285714286
400	1.5	6.76676746	12.3502332	0.666666666667
400	1.6	5.95578293	10.8568487	0.625
400	1.7	5.28336388	9.6192135	0.588235294118
400	1.8	4.72016802	8.58211007	0.555555555556
400	1.9	4.24350526	7.70445786	0.526315789474
400	2.0	3.83683192	6.95517762	0.5
400	2.1	3.48725769	6.3104078	0.47619047619
400	2.2	3.18450678	5.75158635	0.454545454545
400	2.3	2.92068181	5.26410073	0.434782608696
400	2.4	2.68974251	4.83632002	0.416666666667
400	2.5	2.48613971	4.45888594	0.4
400	2.6	2.30626491	4.12421133	0.384615384615
400	2.7	2.14626727	3.82608339	0.37037037037
400	2.8	2.0036253	3.5593791	0.357142857143
400	2.9	1.87603952	3.31983984	0.344827586207
400	3.0	1.76134014	3.10391294	0.333333333333
400	3.1	1.65815648	2.90859763	0.322580645161
400	3.2	1.56511958	2.73136294	0.3125
400	3.3	1.48081764	2.57003315	0.30303030303
400	3.4	1.40425461	2.42276844	0.294117647059
400	3.5	1.33482181	2.28799789	0.285714285714
400	3.6	1.27153351	2.16434122	0.277777777778
400	3.7	1.21399667	2.05061165	0.27027027027
400	3.8	1.16140712	1.94579533	0.263157894737
400	3.9	1.11327827	1.84899569	0.25641025641
400	4.0	1.06918361	1.75942153	0.25
400	4.1	1.02899514	1.67638638	0.243902439024
400	4.2	0.991887502	1.59927854	0.238095238095
400	4.3	0.95806206	1.52751974	0.232558139535
400	4.4	0.927258755	1.46062176	0.227272727273
400	4.5	0.898751697	1.39819519	0.222222222222
400	4.6	0.872581453	1.33986423	0.217391304348
400	4.7	0.848810362	1.28526156	0.212765957447
400	4.8	0.827025402	1.2341012	0.208333333333
400	4.9	0.807077498	1.18609245	0.204081632653
400	5.0	0.788832332	1.14097373	0.2
400	5.1	0.772168624	1.09851777	0.196078431373
400	5.2	0.756976643	1.05855686	0.192307692308
400	5.3	0.743156911	1.02087091	0.188679245283
400	5.4	0.730866321	0.985275876	0.185185185185
400	5.5	0.71952817	0.951681385	0.181818181818
400	5.6	0.709562013	0.919945551	0.178571428571
400	5.7	0.700404923	0.889902557	0.175438596491
400	5.8	0.692488832	0.861456752	0.172413793103
400	5.9	0.685509167	0.834495672	0.169491525424
400	6.0	0.679413345	0.808921516	0.166666666667
400	6.1	0.673905789	0.784630559	0.16393442623
400	6.2	0.669436588	0.761551428	0.161290322581
400	6.3	0.665717532	0.739616304	0.15873015873
400	6.4	0.662710849	0.718753194	0.15625
400	6.5	0.660381649	0.699101353	0.153846153846
400	6.6	0.658697668	0.680060858	0.151515151515
400	6.7	0.657876312	0.662027346	0.149253731343
400	6.8	0.657395322	0.644840279	0.147058823529
400	6.9	0.657476276	0.628451201	0.144927536232
400	7.0	0.658095293	0.612812569	0.142857142857
400	7.1	0.659230161	0.597885475	0.140845070423
400	7.2	0.661107496	0.583631949	0.138888888889
400	7.3	0.663213441	0.570019726	0.13698630137
400	7.4	0.665777307	0.557010405	0.135135135135
400	7.5	0.669029604	0.544559264	0.133333333333
400	7.6	0.672460047	0.532632689	0.131578947368
400	7.7	0.676548552	0.521218953	0.12987012987
400	7.8	0.680786778	0.510298289	0.128205128205
400	7.9	0.685656445	0.499842721	0.126582278481
400	8.0	0.690650869	0.489826795	0.125
400	8.1	0.696006013	0.480225711	0.123456790123
